id,min_distance_to_school(m),min_duration_to_school(s)
1,1220.5,278.76
2,387.72,59.5
3,799.48,131.54
4,233.02,27.96
5,911.0,126.65
6,3560.64,311.65
7,802.76,118.62
8,117.81,17.15
9,606.75,78.85
10,322.85,36.11
11,2517.11,250.88
12,219.44,40.71
13,548.46,99.62
14,327.16,23.55
15,657.18,104.22
16,13785.65,1074.89
17,605.02,82.09
18,2016.71,170.79
19,213.8,51.31
20,860.75,129.7
21,483.75,56.77
22,860.75,129.7
23,2680.99,291.08
24,1827.62,243.98
25,1201.27,138.44
26,1015.5,91.26
27,873.37,141.37
28,1183.23,158.72
29,1039.26,146.02
30,351.75,49.49
31,703.11,111.8
32,884.44,98.0
33,1238.77,172.73
34,878.68,115.59
35,1914.76,236.23
36,1056.94,152.83
37,1143.18,224.79
38,1460.39,152.76
39,959.9,120.87
40,856.76,126.27
41,739.28,128.91
42,1131.3,123.91
43,577.18,128.76
44,1263.36,162.74
45,420.27,53.68
46,513.0,95.64
47,826.08,188.35
48,900.45,90.11
49,1247.7,177.87
50,1728.27,245.38
51,1056.94,152.83
52,755.96,151.3
53,318.63,33.2
54,1457.7,180.25
55,820.7,112.75
56,1632.69,204.2
57,220.18,31.7
58,1447.46,136.03
59,1445.96,135.67
60,1546.27,195.47
61,789.06,163.16
62,734.48,138.28
63,508.5,92.57
64,803.7,130.16
65,502.05,65.92
66,687.73,100.63
67,3805.35,446.53
68,1271.61,243.72
69,5818.45,653.79
70,351.93,84.46
71,295.36,54.99
72,901.99,124.99
73,769.13,95.96
74,598.09,91.14
75,253.61,45.65
76,1805.49,177.27
77,414.73,61.39
78,375.93,74.73
79,709.48,106.74
80,668.63,99.9
81,547.33,64.23
82,626.32,105.97
83,280.95,61.19
84,1081.19,146.83
85,257.53,45.27
86,1586.95,199.61
87,585.59,82.3
88,904.68,152.99
89,832.29,132.29
90,444.44,66.86
91,220.71,52.96
92,639.4,129.86
93,842.88,98.74
94,1577.73,149.47
95,1976.35,203.86
96,5771.29,648.14
