,min_dist,min_dur
0,77980.16,4052.63
1,18463.67,1724.63
2,38993.27,2457.46
3,50375.36,2703.94
4,15235.71,1499.86
5,41714.74,3004.01
6,1193.67,159.06
7,14688.84,1284.18
8,9460.48,1007.47
9,10131.35,1155.76
10,184816.33,8553.36
11,74880.95,3871.57
12,16532.84,1352.6
13,12456.32,1334.95
14,2075.14,289.14
15,168238.52,8280.03
16,7018.25,833.78
17,261841.38,11812.86
18,342723.94,14733.6
19,1239.53,181.77
20,16260.68,1568.86
21,1239.53,181.77
22,34315.01,2375.56
23,152745.63,7184.31
24,34360.86,2305.37
25,14274.96,1442.44
26,7309.82,972.16
27,8232.38,946.45
28,54000.37,3176.81
29,6781.75,848.6
30,53823.98,3132.78
31,22547.39,1568.62
32,38324.26,2384.95
33,39444.03,2574.78
34,40910.61,2750.01
35,19818.06,1947.75
36,30783.08,2149.36
37,38130.68,2178.99
38,12772.54,1308.42
39,1001.32,148.46
40,76242.7,3968.99
41,18772.56,1843.19
42,67556.18,3589.94
43,29473.03,1911.13
44,17808.03,1472.19
45,26345.74,2069.01
46,27844.56,2218.08
47,94041.45,4494.31
48,84382.92,4261.83
49,88568.42,4459.9
50,19818.06,1947.75
51,54824.44,3291.62
52,7230.47,834.75
53,47150.34,2600.01
54,5382.19,770.43
55,38967.0,2790.81
56,9494.98,1091.64
57,62277.91,3250.45
58,62276.4,3250.09
59,22313.69,2236.06
60,74806.59,3821.86
61,4044.36,460.06
62,153815.13,7214.05
63,25166.6,1924.17
64,77417.82,4055.41
65,6569.84,758.14
66,84043.69,4133.25
67,27771.57,2504.13
68,38253.07,2500.96
69,73500.98,3685.7
70,4675.96,713.2
71,1460.31,203.96
72,8892.36,938.79
73,1118.39,179.13
74,9431.45,1125.02
75,62635.93,3291.7
76,22459.38,1657.45
77,18077.59,1692.14
78,13820.56,1372.23
79,24142.92,1892.17
80,199899.19,8583.0
81,19603.95,1828.4
82,3647.39,447.01
83,6008.66,755.09
84,29088.79,1973.84
85,24536.77,1830.91
86,112827.77,5036.84
87,121010.57,5428.65
88,115387.16,5254.62
