,min_dist,min_dur
0,18581.67,1267.66
1,1974.77,216.9
2,4148.63,529.58
3,3284.04,480.19
4,2387.93,260.07
5,9630.37,894.91
6,620.33,89.4
7,998.13,154.14
8,786.14,141.31
9,2179.03,287.39
10,155625.84,6548.71
11,42871.94,2118.28
12,3383.93,392.83
13,2447.56,261.84
14,529.9,73.89
15,107828.68,5549.6
16,728.1,123.51
17,229981.06,10138.08
18,307065.72,12757.36
19,802.71,119.32
20,1501.85,180.68
21,802.71,119.32
22,1895.53,337.22
23,117214.1,5185.78
24,9625.58,975.49
25,1594.47,173.78
26,1220.21,197.91
27,1412.32,156.34
28,7010.28,670.11
29,620.2,107.35
30,31566.46,1991.21
31,1938.79,313.61
32,4572.74,511.46
33,2126.97,265.65
34,8427.53,859.17
35,1034.59,190.37
36,7627.49,949.84
37,4297.66,443.2
38,2038.68,217.73
39,425.5,80.64
40,44277.88,2225.35
41,1819.81,175.95
42,35376.34,1795.18
43,7375.89,707.55
44,778.97,131.78
45,2661.58,295.31
46,2612.84,431.42
47,31511.09,1723.32
48,52259.92,2507.95
49,56598.95,2720.63
50,1034.59,190.37
51,32569.23,2150.38
52,709.96,99.94
53,16629.95,1095.69
54,1320.88,187.56
55,6722.59,660.05
56,2279.26,246.66
57,1257.38,172.73
58,1255.87,172.37
59,3081.71,359.76
60,42193.08,2015.73
61,1876.95,310.85
62,121910.77,5510.75
63,911.88,184.24
64,45449.46,2303.89
65,881.7,145.81
66,21627.6,1406.38
67,7261.42,828.71
68,17212.42,1429.85
69,41446.71,1921.01
70,834.58,120.94
71,447.78,62.04
72,2417.47,263.93
73,552.15,83.71
74,1967.1,365.73
75,1922.52,230.62
76,1427.19,158.02
77,492.95,115.76
78,908.22,157.0
79,2099.68,302.53
80,171068.13,6561.35
81,308.57,74.06
82,1633.92,222.34
83,1601.66,221.27
84,2179.12,279.5
85,6817.18,750.38
86,88129.52,3803.82
87,95822.18,4137.67
88,90745.8,4016.91
89,492.33,69.39
90,4605.48,491.66
91,11631.7,895.81
92,7635.14,749.61
93,10780.84,834.48
94,11468.24,872.28
95,17165.26,1424.19
96,5666.74,677.33
97,2475.7,408.7
98,11326.48,854.76
99,15186.72,1333.18
100,1419.89,186.07
101,2330.56,304.59
102,502.71,114.74
103,307.46,47.13
104,962.64,153.12
105,4395.53,442.33
106,101530.61,4502.38
107,2664.58,297.65
108,5630.86,586.56
109,1949.37,283.85
110,70984.47,3431.29
111,65825.24,4136.34
112,1106.98,173.78
113,1787.27,242.27
114,847.28,132.78
115,101578.63,4591.03
116,96568.06,4089.76
117,8370.02,929.66
118,5688.63,596.96
119,157828.16,7425.72
120,215440.11,9975.54
121,78611.17,3856.97
122,1899.32,264.87
123,582.8,89.65
124,2558.27,451.34
125,1341.15,148.4
126,319.06,47.64
127,4634.38,455.37
128,1280.07,195.35
129,103929.95,4785.52
130,3083.78,358.39
131,4140.61,406.69
132,502.94,67.87
133,3212.76,331.43
134,2204.94,291.82
135,792.09,137.33
136,160716.08,6846.48
137,2447.31,268.23
138,1761.43,254.0
139,482.79,64.64
140,47198.7,2885.31
141,131543.41,6343.97
142,130818.45,6288.27
143,1675.03,261.4
144,1321.15,170.82
145,2833.89,298.66
146,3211.45,400.08
147,608.06,92.18
148,287.14,41.97
149,118202.77,5268.64
150,792.32,148.85
