suburb,postcode,latitude,longitude,isNewDevelopment,bathrooms,bedrooms,carspaces,propertyTypes,status,channel,price_per_week,time_to_nearest_train_station(min),distance_to_nearest_train_station(km),distance_to_nearest_school(km),time_to_nearest_school(min)
Mount Martha,3934,-38.268818,145.014034,False,3,3,2,house,live,residential,1600.0,21.12,18.74,1.22,4.65
Bentleigh East,3165,-37.909091,145.0551521,False,2,3,2,house,live,residential,780.0,3.65,2.0,0.39,0.99
Ferntree Gully,3156,-37.8904524,145.2679225,False,1,3,2,house,live,residential,585.0,8.91,4.68,0.8,2.19
Frankston North,3200,-38.1153525,145.16326,False,1,3,2,house,live,residential,475.0,8.21,3.28,0.23,0.47
Camberwell,3124,-37.8401085,145.0948303,False,1,2,1,house,live,residential,590.0,4.45,2.43,0.91,2.11
Wyndham Vale,3024,-37.85084870000001,144.5967486,False,2,4,2,house,live,residential,480.0,5.66,3.54,3.56,5.19
Melbourne,3000,-37.8125979,144.9604012,False,1,1,0,apartmentUnitFlat,live,residential,460.0,1.65,0.67,0.8,1.98
Heidelberg,3084,-37.7554154,145.0667548,False,1,2,1,apartmentUnitFlat,live,residential,520.0,1.81,0.72,0.12,0.29
Fairfield,3078,-37.7781796,145.025033,False,1,1,1,apartmentUnitFlat,live,residential,320.0,2.58,0.86,0.61,1.31
Maidstone,3012,-37.7905844,144.8825198,False,1,3,0,house,live,residential,575.0,4.85,2.32,0.32,0.6
Shepparton North,3631,-36.3457841,145.4045986,False,2,4,2,house,live,residential,620.0,10.08,5.53,2.52,4.18
Bell Park,3215,-38.1154606,144.335987,False,1,3,2,house,live,residential,500.0,6.98,3.04,0.22,0.68
Balwyn North,3104,-37.7990912,145.0991261,False,1,2,2,house,live,residential,670.0,6.54,3.38,0.63,1.66
Essendon,3040,-37.7402865,144.8998066,False,2,2,1,apartmentUnitFlat,live,residential,470.0,4.79,2.52,0.33,0.39
Melbourne,3000,-37.8150105,144.9534188,False,1,2,1,apartmentUnitFlat,live,residential,700.0,2.17,0.86,0.66,1.74
Mirboo,3871,-38.4617381,146.2523713,False,1,2,1,house,live,residential,370.0,41.93,37.24,13.79,17.92
Footscray,3011,-37.8002206,144.9091638,False,2,2,1,apartmentUnitFlat,live,residential,600.0,2.29,0.88,0.6,1.37
Warrnambool,3280,-38.3486865,142.4642833,False,2,4,2,house,live,residential,650.0,8.78,5.53,2.34,2.85
Swan Hill,3585,-35.35011160000001,143.5451556,False,1,3,2,house,live,residential,360.0,5.57,2.94,0.21,0.86
Carlton,3053,-37.8057745,144.9626168,False,1,2,0,apartmentUnitFlat,live,residential,600.0,3.01,1.23,1.01,2.16
Ashwood,3147,-37.8674042,145.1050599,False,1,2,0,apartmentUnitFlat,live,residential,500.0,2.78,1.44,0.53,0.95
